"年別","月份","亞洲地區","非洲地區","美洲地區","大洋洲地區","歐洲地區","其他未列明","小計"
"Year","Month","Asia","Africa","Americas","Oceania","Europe","Unknow","Total"
"110","5","16184","3","7754","195","308","51","24495"
"110","6","18570","2","17814","149","549","36","37120"
"110","7","18872","11","17175","286","499","108","36951"
"110","8","18482","2","18919","864","1078","78","39423"
"110","9","17789","6","7928","1036","1305","68","28132"
"110","10","18011","7","6690","473","635","112","25928"
"110","11","16084","15","5642","134","435","91","22401"
"110","12","17805","11","7714","624","419","73","26646"
"111","1","15746","6","8750","641","677","105","25925"
"111","2","49995","18","7321","1012","945","71","59362"
"111","3","32841","16","8942","1104","1070","116","44089"
"111","4","27656","5","10590","1126","1218","81","40676"
"111","5","28002","12","14234","1234","2047","73","45602"
"111","6","40673","21","20937","2146","2991","102","66870"
"111","7","69169","16","26494","3018","3629","69","102395"
"111","8","83879","15","35754","2918","6133","112","128811"
"111","9","88438","28","25855","3375","9039","129","126864"
"111","10","135047","19","24432","4709","8068","44","172319"
"111","11","229796","27","29836","5731","11077","103","276570"
"111","12","336620","22","37357","8568","10642","129","393338"
"112","1","607783","59","51411","16178","20834","209","696474"
"112","2","591293","18","31667","15499","14325","141","652943"
"總計(Total)","","2478735","339","423216","71020","97923","2101","3073334"
